subject,body,label
Suspicious Activity on Your Account,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Suspicious Activity on Your Account,Your payment could not be processed. Update your billing information now.,phishing
Weekly Digest,Reminder: Submit your project update by Friday.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Double Your Income in 7 Days,Act now to secure your limited-time offer.,spam
Suspicious Activity on Your Account,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
Claim Your Gift Card,Free gift card available for a limited time.,spam
Get Rich Quick!,Click here to claim your reward instantly.,spam
Limited Time Offer! Buy Now,Exclusive investment opportunity. Don't miss out!,spam
Congratulations! You've won a prize,Earn $1000 per day online with this simple trick.,spam
Your Account Has Been Suspended,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
Monthly Report Submission,Please find the attached report for your review.,legit
Claim Your Gift Card,Act now to secure your limited-time offer.,spam
Your Account Has Been Suspended,"To continue using your account, please confirm your email address.",phishing
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Appointment Confirmation,Looking forward to our meeting tomorrow at 10 AM.,legit
Welcome to Our Newsletter,Looking forward to our meeting tomorrow at 10 AM.,legit
Winner Announcement Inside,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Free iPhone Giveaway,Earn $1000 per day online with this simple trick.,spam
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
Weekly Digest,Your subscription has been renewed successfully.,legit
Invoice Attached,Kindly find the invoice for your recent purchase.,legit
Team Outing Schedule,Please review the updated HR policy attached in this email.,legit
Confirm Your Identity,"To continue using your account, please confirm your email address.",phishing
Double Your Income in 7 Days,Exclusive investment opportunity. Don't miss out!,spam
Invoice Attached,Please review the updated HR policy attached in this email.,legit
Get Rich Quick!,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
HR Policy Update,Your subscription has been renewed successfully.,legit
Double Your Income in 7 Days,You have won a free iPhone! Claim your prize before it expires.,spam
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Confirm Your Identity,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Welcome to our newsletter! We will keep you updated weekly.,legit
Get Rich Quick!,Act now to secure your limited-time offer.,spam
Limited Time Offer! Buy Now,Act now to secure your limited-time offer.,spam
Limited Time Offer! Buy Now,Work from home and earn thousands. Sign up today!,spam
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Reset Your Password Now,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Invoice Attached,Kindly find the invoice for your recent purchase.,legit
Unauthorized Transaction Alert,You have been selected for account verification. Click the link to proceed.,phishing
Limited Time Offer! Buy Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Congratulations! You've won a prize,Earn $1000 per day online with this simple trick.,spam
HR Policy Update,Kindly find the invoice for your recent purchase.,legit
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Your Account Has Been Suspended,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Invoice Attached,Reminder: Submit your project update by Friday.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Free iPhone Giveaway,You have won a free iPhone! Claim your prize before it expires.,spam
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Appointment Confirmation,Please find the attached report for your review.,legit
Limited Time Offer! Buy Now,Earn $1000 per day online with this simple trick.,spam
Your Order Has Shipped,Please review the updated HR policy attached in this email.,legit
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Weekly Digest,Please find the attached report for your review.,legit
Verify Your Bank Account Immediately,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Your Account is Locked,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Invoice Attached,Agenda for the upcoming team outing is attached.,legit
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Weekly Digest,Reminder: Submit your project update by Friday.,legit
Earn $5000 working from home,Click here to claim your reward instantly.,spam
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Monthly Report Submission,Thank you for attending the meeting. Notes are attached.,legit
Action Required: Account Verification,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Welcome to Our Newsletter,Reminder: Submit your project update by Friday.,legit
Monthly Report Submission,Agenda for the upcoming team outing is attached.,legit
Limited Time Offer! Buy Now,Work from home and earn thousands. Sign up today!,spam
Get Rich Quick!,Earn $1000 per day online with this simple trick.,spam
Claim Your Gift Card,Limited time offer! Buy now and save 50% on your order.,spam
Weekly Digest,Reminder: Submit your project update by Friday.,legit
Project Update,Agenda for the upcoming team outing is attached.,legit
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Earn $5000 working from home,You have won a free iPhone! Claim your prize before it expires.,spam
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Free iPhone Giveaway,Limited time offer! Buy now and save 50% on your order.,spam
Get Rich Quick!,Act now to secure your limited-time offer.,spam
Unauthorized Transaction Alert,"To continue using your account, please confirm your email address.",phishing
Get Rich Quick!,Click here to claim your reward instantly.,spam
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Project Update,Please find the attached report for your review.,legit
Invoice Attached,Welcome to our newsletter! We will keep you updated weekly.,legit
Action Required: Account Verification,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Meeting Reminder,Agenda for the upcoming team outing is attached.,legit
Verify Your Bank Account Immediately,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Order Has Shipped,Welcome to our newsletter! We will keep you updated weekly.,legit
Welcome to Our Newsletter,Your subscription has been renewed successfully.,legit
Urgent: Verify Your Account,Act now to secure your limited-time offer.,spam
Payment Failed – Verify Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Earn $5000 working from home,Congratulations! Your lottery ticket has won. Redeem now.,spam
Your Account is Locked,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Weekly Digest,Reminder: Submit your project update by Friday.,legit
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
HR Policy Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Get Rich Quick!,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Weekly Digest,Please find the attached report for your review.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Team Outing Schedule,Looking forward to our meeting tomorrow at 10 AM.,legit
Your Account is Locked,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Team Outing Schedule,Please review the updated HR policy attached in this email.,legit
Unauthorized Transaction Alert,Your payment could not be processed. Update your billing information now.,phishing
Monthly Report Submission,Reminder: Submit your project update by Friday.,legit
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Suspicious Activity on Your Account,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Your Account Has Been Suspended,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Weekly Digest,Please review the updated HR policy attached in this email.,legit
Limited Time Offer! Buy Now,Congratulations! Your lottery ticket has won. Redeem now.,spam
Welcome to Our Newsletter,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,Act now to secure your limited-time offer.,spam
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Weekly Digest,Thank you for attending the meeting. Notes are attached.,legit
Reset Your Password Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Invoice Attached,Welcome to our newsletter! We will keep you updated weekly.,legit
Team Outing Schedule,Your order has been shipped and will arrive within 3-5 business days.,legit
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Action Required: Account Verification,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Free iPhone Giveaway,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Claim Your Gift Card,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Double Your Income in 7 Days,Click here to claim your reward instantly.,spam
Invoice Attached,Welcome to our newsletter! We will keep you updated weekly.,legit
Get Rich Quick!,Click here to claim your reward instantly.,spam
Suspicious Activity on Your Account,"To continue using your account, please confirm your email address.",phishing
Your Account is Locked,Your payment could not be processed. Update your billing information now.,phishing
Unauthorized Transaction Alert,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Project Update,Please review the updated HR policy attached in this email.,legit
Limited Time Offer! Buy Now,Free gift card available for a limited time.,spam
Payment Failed – Verify Now,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Your subscription has been renewed successfully.,legit
HR Policy Update,Please find the attached report for your review.,legit
Unusual Login Attempt Detected,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Your Account is Locked,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Your Account Has Been Suspended,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Claim Your Gift Card,Free gift card available for a limited time.,spam
Claim Your Gift Card,Free gift card available for a limited time.,spam
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Limited Time Offer! Buy Now,Congratulations! Your lottery ticket has won. Redeem now.,spam
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Unauthorized Transaction Alert,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Lowest Price Ever! Shop Now,Limited time offer! Buy now and save 50% on your order.,spam
HR Policy Update,Your subscription has been renewed successfully.,legit
Double Your Income in 7 Days,Click here to claim your reward instantly.,spam
Reset Your Password Now,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Verify Your Bank Account Immediately,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Winner Announcement Inside,Free gift card available for a limited time.,spam
Claim Your Gift Card,Work from home and earn thousands. Sign up today!,spam
Your Account is Locked,Your payment could not be processed. Update your billing information now.,phishing
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
HR Policy Update,Kindly find the invoice for your recent purchase.,legit
Your Account is Locked,Your payment could not be processed. Update your billing information now.,phishing
Free iPhone Giveaway,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Invoice Attached,Your subscription has been renewed successfully.,legit
Lowest Price Ever! Shop Now,Free gift card available for a limited time.,spam
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Unusual Login Attempt Detected,Your payment could not be processed. Update your billing information now.,phishing
Payment Failed – Verify Now,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Free iPhone Giveaway,Free gift card available for a limited time.,spam
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Action Required: Account Verification,Your payment could not be processed. Update your billing information now.,phishing
Lowest Price Ever! Shop Now,Work from home and earn thousands. Sign up today!,spam
Claim Your Gift Card,Congratulations! Your lottery ticket has won. Redeem now.,spam
Claim Your Gift Card,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Confirm Your Identity,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Confirm Your Identity,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Invoice Attached,Your order has been shipped and will arrive within 3-5 business days.,legit
Suspicious Activity on Your Account,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Congratulations! You've won a prize,Free gift card available for a limited time.,spam
HR Policy Update,Please find the attached report for your review.,legit
Invoice Attached,Looking forward to our meeting tomorrow at 10 AM.,legit
Team Outing Schedule,Please find the attached report for your review.,legit
Reset Your Password Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Double Your Income in 7 Days,Exclusive investment opportunity. Don't miss out!,spam
Monthly Report Submission,Your subscription has been renewed successfully.,legit
Welcome to Our Newsletter,Reminder: Submit your project update by Friday.,legit
Get Rich Quick!,Exclusive investment opportunity. Don't miss out!,spam
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Congratulations! You've won a prize,Work from home and earn thousands. Sign up today!,spam
Earn $5000 working from home,Click here to claim your reward instantly.,spam
Welcome to Our Newsletter,Your order has been shipped and will arrive within 3-5 business days.,legit
Congratulations! You've won a prize,Earn $1000 per day online with this simple trick.,spam
Claim Your Gift Card,Work from home and earn thousands. Sign up today!,spam
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Suspicious Activity on Your Account,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Action Required: Account Verification,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Reset Your Password Now,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Free iPhone Giveaway,Free gift card available for a limited time.,spam
Team Outing Schedule,Please find the attached report for your review.,legit
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Double Your Income in 7 Days,Click here to claim your reward instantly.,spam
Weekly Digest,Welcome to our newsletter! We will keep you updated weekly.,legit
Suspicious Activity on Your Account,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Get Rich Quick!,Work from home and earn thousands. Sign up today!,spam
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Action Required: Account Verification,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Reset Your Password Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Payment Failed – Verify Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Payment Failed – Verify Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Welcome to Our Newsletter,Please review the updated HR policy attached in this email.,legit
Welcome to Our Newsletter,Looking forward to our meeting tomorrow at 10 AM.,legit
Unauthorized Transaction Alert,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Your Account Has Been Suspended,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Limited Time Offer! Buy Now,Limited time offer! Buy now and save 50% on your order.,spam
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Free iPhone Giveaway,Congratulations! Your lottery ticket has won. Redeem now.,spam
Claim Your Gift Card,Act now to secure your limited-time offer.,spam
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Claim Your Gift Card,Limited time offer! Buy now and save 50% on your order.,spam
Payment Failed – Verify Now,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Team Outing Schedule,Thank you for attending the meeting. Notes are attached.,legit
Unusual Login Attempt Detected,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Urgent: Verify Your Account,You have won a free iPhone! Claim your prize before it expires.,spam
Winner Announcement Inside,You have won a free iPhone! Claim your prize before it expires.,spam
Welcome to Our Newsletter,Welcome to our newsletter! We will keep you updated weekly.,legit
Payment Failed – Verify Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Get Rich Quick!,Congratulations! Your lottery ticket has won. Redeem now.,spam
Your Account is Locked,"To continue using your account, please confirm your email address.",phishing
Earn $5000 working from home,Free gift card available for a limited time.,spam
Free iPhone Giveaway,Act now to secure your limited-time offer.,spam
Team Outing Schedule,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Welcome to our newsletter! We will keep you updated weekly.,legit
Double Your Income in 7 Days,Free gift card available for a limited time.,spam
Appointment Confirmation,Agenda for the upcoming team outing is attached.,legit
Winner Announcement Inside,Congratulations! Your lottery ticket has won. Redeem now.,spam
Weekly Digest,Your subscription has been renewed successfully.,legit
Verify Your Bank Account Immediately,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Unauthorized Transaction Alert,"To continue using your account, please confirm your email address.",phishing
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Urgent: Verify Your Account,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Earn $5000 working from home,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Earn $5000 working from home,Click here to claim your reward instantly.,spam
Action Required: Account Verification,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Congratulations! You've won a prize,Earn $1000 per day online with this simple trick.,spam
Project Update,Thank you for attending the meeting. Notes are attached.,legit
Your Order Has Shipped,Please review the updated HR policy attached in this email.,legit
Invoice Attached,Reminder: Submit your project update by Friday.,legit
Payment Failed – Verify Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Invoice Attached,Please review the updated HR policy attached in this email.,legit
Double Your Income in 7 Days,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Winner Announcement Inside,You have won a free iPhone! Claim your prize before it expires.,spam
Action Required: Account Verification,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Winner Announcement Inside,Act now to secure your limited-time offer.,spam
Your Order Has Shipped,Thank you for attending the meeting. Notes are attached.,legit
Unauthorized Transaction Alert,You have been selected for account verification. Click the link to proceed.,phishing
Winner Announcement Inside,Limited time offer! Buy now and save 50% on your order.,spam
Your Account Has Been Suspended,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Free iPhone Giveaway,Limited time offer! Buy now and save 50% on your order.,spam
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Meeting Reminder,Kindly find the invoice for your recent purchase.,legit
Monthly Report Submission,Welcome to our newsletter! We will keep you updated weekly.,legit
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
Free iPhone Giveaway,Exclusive investment opportunity. Don't miss out!,spam
Action Required: Account Verification,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
Winner Announcement Inside,You have won a free iPhone! Claim your prize before it expires.,spam
Lowest Price Ever! Shop Now,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Your Account is Locked,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Meeting Reminder,Your subscription has been renewed successfully.,legit
Unauthorized Transaction Alert,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Reset Your Password Now,You have been selected for account verification. Click the link to proceed.,phishing
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Meeting Reminder,Your order has been shipped and will arrive within 3-5 business days.,legit
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Suspicious Activity on Your Account,You have been selected for account verification. Click the link to proceed.,phishing
Lowest Price Ever! Shop Now,Earn $1000 per day online with this simple trick.,spam
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Invoice Attached,Thank you for attending the meeting. Notes are attached.,legit
Team Outing Schedule,Please find the attached report for your review.,legit
Weekly Digest,Your subscription has been renewed successfully.,legit
Lowest Price Ever! Shop Now,Exclusive investment opportunity. Don't miss out!,spam
Urgent: Verify Your Account,Click here to claim your reward instantly.,spam
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Meeting Reminder,Reminder: Submit your project update by Friday.,legit
Your Order Has Shipped,Looking forward to our meeting tomorrow at 10 AM.,legit
Verify Your Bank Account Immediately,"To continue using your account, please confirm your email address.",phishing
Your Account Has Been Suspended,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Action Required: Account Verification,Your payment could not be processed. Update your billing information now.,phishing
Earn $5000 working from home,Earn $1000 per day online with this simple trick.,spam
Get Rich Quick!,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Project Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Meeting Reminder,Thank you for attending the meeting. Notes are attached.,legit
Your Order Has Shipped,Agenda for the upcoming team outing is attached.,legit
Unauthorized Transaction Alert,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Claim Your Gift Card,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Your Account Has Been Suspended,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Project Update,Agenda for the upcoming team outing is attached.,legit
Free iPhone Giveaway,Act now to secure your limited-time offer.,spam
Reset Your Password Now,You have been selected for account verification. Click the link to proceed.,phishing
Appointment Confirmation,Welcome to our newsletter! We will keep you updated weekly.,legit
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Welcome to Our Newsletter,Looking forward to our meeting tomorrow at 10 AM.,legit
Reset Your Password Now,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Reset Your Password Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
HR Policy Update,Reminder: Submit your project update by Friday.,legit
Unusual Login Attempt Detected,Confirm your identity to prevent account closure. Login here: [malicious link],phishing
Weekly Digest,Your subscription has been renewed successfully.,legit
Limited Time Offer! Buy Now,Earn $1000 per day online with this simple trick.,spam
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Reset Your Password Now,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
Unauthorized Transaction Alert,"To continue using your account, please confirm your email address.",phishing
Monthly Report Submission,Your subscription has been renewed successfully.,legit
Verify Your Bank Account Immediately,Your payment could not be processed. Update your billing information now.,phishing
Winner Announcement Inside,Limited time offer! Buy now and save 50% on your order.,spam
Meeting Reminder,Looking forward to our meeting tomorrow at 10 AM.,legit
Urgent: Verify Your Account,Act now to secure your limited-time offer.,spam
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Monthly Report Submission,Agenda for the upcoming team outing is attached.,legit
Appointment Confirmation,Please find the attached report for your review.,legit
Invoice Attached,Please find the attached report for your review.,legit
Claim Your Gift Card,Limited time offer! Buy now and save 50% on your order.,spam
Unauthorized Transaction Alert,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Your Account Has Been Suspended,Your payment could not be processed. Update your billing information now.,phishing
Limited Time Offer! Buy Now,Act now to secure your limited-time offer.,spam
Action Required: Account Verification,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Your Order Has Shipped,Agenda for the upcoming team outing is attached.,legit
Welcome to Our Newsletter,Kindly find the invoice for your recent purchase.,legit
Action Required: Account Verification,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Team Outing Schedule,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Looking forward to our meeting tomorrow at 10 AM.,legit
Suspicious Activity on Your Account,You have been selected for account verification. Click the link to proceed.,phishing
Unauthorized Transaction Alert,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Confirm Your Identity,Immediate action required: Your account has been flagged for suspicious activity.,phishing
Monthly Report Submission,Thank you for attending the meeting. Notes are attached.,legit
Welcome to Our Newsletter,Kindly find the invoice for your recent purchase.,legit
Get Rich Quick!,Free gift card available for a limited time.,spam
Limited Time Offer! Buy Now,Limited time offer! Buy now and save 50% on your order.,spam
Monthly Report Submission,Your subscription has been renewed successfully.,legit
Project Update,Kindly find the invoice for your recent purchase.,legit
Suspicious Activity on Your Account,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Team Outing Schedule,Agenda for the upcoming team outing is attached.,legit
Limited Time Offer! Buy Now,You have won a free iPhone! Claim your prize before it expires.,spam
Your Account is Locked,Your payment could not be processed. Update your billing information now.,phishing
Unusual Login Attempt Detected,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Project Update,Your order has been shipped and will arrive within 3-5 business days.,legit
Get Rich Quick!,Free gift card available for a limited time.,spam
Your Order Has Shipped,Your order has been shipped and will arrive within 3-5 business days.,legit
HR Policy Update,Welcome to our newsletter! We will keep you updated weekly.,legit
Limited Time Offer! Buy Now,Click here to claim your reward instantly.,spam
Free iPhone Giveaway,Invest in Angel One stocks now! Click the link to earn big rewards.,spam
Monthly Report Submission,Welcome to our newsletter! We will keep you updated weekly.,legit
Welcome to Our Newsletter,Your subscription has been renewed successfully.,legit
Your Account is Locked,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Reset Your Password Now,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
Your Account Has Been Suspended,Security alert: Login attempt from an unrecognized device. Verify your account immediately.,phishing
Winner Announcement Inside,Exclusive investment opportunity. Don't miss out!,spam
Appointment Confirmation,Kindly find the invoice for your recent purchase.,legit
Your Order Has Shipped,Thank you for attending the meeting. Notes are attached.,legit
Payment Failed – Verify Now,Your payment could not be processed. Update your billing information now.,phishing
Lowest Price Ever! Shop Now,Limited time offer! Buy now and save 50% on your order.,spam
Monthly Report Submission,Your order has been shipped and will arrive within 3-5 business days.,legit
Appointment Confirmation,Your subscription has been renewed successfully.,legit
Appointment Confirmation,Your order has been shipped and will arrive within 3-5 business days.,legit
Limited Time Offer! Buy Now,Work from home and earn thousands. Sign up today!,spam
Earn $5000 working from home,Work from home and earn thousands. Sign up today!,spam
Claim Your Gift Card,Exclusive investment opportunity. Don't miss out!,spam
Urgent: Verify Your Account,Work from home and earn thousands. Sign up today!,spam
Project Update,Please review the updated HR policy attached in this email.,legit
Team Outing Schedule,Kindly find the invoice for your recent purchase.,legit
Confirm Your Identity,Your account has been suspended due to suspicious activity. Click here to verify your details.,phishing
Your Account is Locked,We detected an unauthorized login to your account. Please reset your password immediately.,phishing
Weekly Digest,Agenda for the upcoming team outing is attached.,legit
Urgent: Verify Your Account,Limited time offer! Buy now and save 50% on your order.,spam
Confirm Your Identity,Unauthorized transaction detected. Confirm your account to avoid charges.,phishing
Double Your Income in 7 Days,Earn $1000 per day online with this simple trick.,spam
Winner Announcement Inside,Work from home and earn thousands. Sign up today!,spam
Invoice Attached,Kindly find the invoice for your recent purchase.,legit
Your Order Has Shipped,Your subscription has been renewed successfully.,legit
Suspicious Activity on Your Account,Alert: Someone tried to access your account. Reset your password to secure it.,phishing
